Jname	Jarticles	nWave_ap	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	nWave_ra	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	nWave_rp	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Iran J Cancer Prev	31	31		197		31	57	45	92	31	333	175	
Iran J Child Neurol	24	24		359		24	74.5	45.5	106	24		321.5	
Iran J Kidney Dis	60	60	176	131.5	232.5	60	146.5	1	192	60	356	287	516
Iran J Med Sci	35	35	271	187.5	337.5	35	115	80	150.5	35	410	324	503
Iran J Neurol	43	43				43	91	83	96	43		88.5	
Iran J Otorhinolaryngol	30	30	126.5	95	176	30	93.5	72	119	30	245.5	188	303
Iran J Parasitol	56	56	47	20		56	107	86	149.5	56	129.5	101.5	163
Iran J Ped Hematol Oncol	40	40				40	100	81	112.5	40		12.5	
Iran J Pediatr	52	52	142.5	89	232.5	52	174	129	208.5	52	309.5	256.5	473.5
Iran J Psychiatry Behav Sci	10	10	271.5	186		10	611.5	203	795	10	549	302	740
Iran J Radiol	37	37	186	145	290	37	246	133	395	37	538	278	616
Iran J Reprod Med	73	73	138	111	197	73	193	140	250	73	338	268	445
Iran Red Crescent Med J	132	132	82.5	36.5	221.5	132	214.5	126.5	349	132	400.5	308.5	489.5
Iran. J. Public Health	205	205				205	95	75	140	205	234	68	
Iranian J Environ Health Sci Eng	29	29				29	5	1	53	29			
ISA Trans	128	128	125	102	145	128	222.5	132	342.5	128	339.5	263	474.5
ISME J	128	128	170	160	179.5	128	125.5	92	148.5	128	293	264	323
Isr J Health Policy Res	19	19				19	166	116	203	19		100	
ISRN AIDS	14	14				14	31	28	38	14			
ISRN Allergy	14	14				14	22.5	18	36	14		56	
ISRN Cardiol	28	28				28	26.5	19	35.5	28			
ISRN Dent	36	36				36	32	24	43	36			
ISRN Dermatol	36	36				36	28.5	22	37.5	36			
ISRN Endocrinol	54	54				54	27.5	21	35	54			
ISRN Family Med	30	30				30	24	21	42	30			
ISRN Gastroenterol	44	44				44	25	20	32	44			
ISRN Hematol	22	22				22	32.5	26	52	22			
ISRN Inflamm	20	20				20	25.5	20	46.5	20			
ISRN Microbiol	31	31				31	29	26.5	39.5	31			
ISRN Nephrol	35	35		57		35	26	21.5	40	35	185	66	
ISRN Neurol	63	63				63	35	23.5	49	63			
ISRN Neurosci	31	31				31	26	23	38	31			
ISRN Nurs	24	24				24	30.5	24.5	44	24			
ISRN Nutr	35	35				35	33	25	42	35		27	
ISRN Obes	39	39				39	30	25	41.5	39			
ISRN Obstet Gynecol	59	59				59	32	24	48	59			
ISRN Oncol	89	89				89	29	20	42	89			
ISRN Ophthalmol	41	41				41	35	24	44	41			
ISRN Org Chem	21	21				21	30	23	44	21			
ISRN Orthop	40	40				40	28	24.5	35.5	40			
ISRN Otolaryngol	34	34				34	35	28	46	34			
ISRN Pediatr	25	25				25	41	33	58	25			
ISRN Pharm	17	17				17	33	30	43	17			
ISRN Pharmacol	52	52				52	28	22	42.5	52			
ISRN Prev Med	27	27		96		27	33	24	42.5	27		89.5	
ISRN Psychiatry	29	29				29	40	29	48	29			
ISRN Radiol	37	37		90		37	29	22	44	37		75	
ISRN Rheumatol	15	15				15	28	24	34.5	15			
ISRN Surg	32	32				32	28.5	26	37	32			
ISRN Toxicol	28	28				28	37	32.5	40.5	28			
ISRN Urol	35	35				35	30	26.5	39.5	35			
ISRN Vet Sci	28	28				28	34.5	25.5	38	28			
Ital J Pediatr	44	44				44	91.5	58	125.5	44		73	
IUBMB Life	139	139	91	77.5	104	139	35	25	52	139	125	109	154
J AAPOS	97	97	131	111	149	97	122	87	160	97	245	228	288
J Acad Nutr Diet	162	162	167	136		162	238	161		162	310.5	175	422
J Acupunct Meridian Stud	34	34	176.5	110	277	34	92	62	117	34	298.5	187	446
J Addict	28	28		150		28	91	67	116	28	221.5	36.5	
J Adolesc	102	102	93	81	107	102	238	184	315	102	329	265	441
J Adolesc Health	236	236	162	144	221.5	236	149	120	182	236	326.5	276	385
J Adv Prosthodont	27	27		21		27	163	139	232.5	27	183	148	241.5
J Adv Res	87	87	352	337.5	386.5	87	94	66.5	128	87	442	413	497
J Affect Disord	559	559	151	128	183	559	79	47	127	559	239	206	289.5
J Aging Res	45	45				45	78	47	114	45		78	
J Aging Stud	47	47	107	80	127	47	109	96	176.5	47	213	184	287
J Agric Sci	1	1				1				1			
J Allergy (Cairo)	34	34				34	88	47	117	34			
J Allergy Clin Immunol Pract	134	134				134	59	39	110	134			
J Allied Health	34	34				34	126.5	93	225	34	176	66	
J Am Acad Child Adolesc Psychiatry	118	118	71	64	79	118	165	135	216	118	234	206	292
J Am Assoc Nurse Pract	10	10	808	367	810	10	152	127	169	10	944.5	536	964
J Am Coll Clin Wound Spec	4	4				4				4			
J Am Coll Radiol	200	200	172	111	215.5	200	11	4	41	200	207.5	125	245
J Am Med Dir Assoc	169	169	130	103	160	169	47	12	88	169	184	153	226
J Am Oil Chem Soc	7	7	117	103		7	105	95	105	7	204	149.5	208
J Am Soc Echocardiogr	172	172				172				172	270	195	329.5
J Am Soc Hypertens	60	60				60	53	29	69	60			
J Amino Acids	33	33				33	65	43	102	33			
J Anal Methods Chem	100	100				100	55	43	82	100			
J Anesth	123	123	208	189	221.5	123	112	64	218	123	314	264.5	406
J Anim Ecol	163	163	168	126.5	187.5	163	184	124	246.5	163	341	266	400.5
J Anim Physiol Anim Nutr (Berl)	61	61	369	349	386	61	154	120	217	61	521	484	593
J Anim Sci Biotechnol	22	22				22	70.5	40	108	22			
J Anthropol Archaeol	1	1				1				1			
J Anxiety Disord	83	83	77	37	140.5	83	205	153	266	83	292	216.5	399.5
J Appl Behav Anal	69	69	208	130		69	190	142	319	69	324	285	383
J Appl Clin Med Phys	128	128				128	148	105.5	190.5	128	240.5	78.5	
J Appl Crystallogr	62	62	106	70	164	62	110.5	94	142	62	251	188	272
J Appl Ecol	3	3				3				3			
J Appl Mech	7	7	219	218	247	7	324	179	442	7	542	398	688.5
J Appl Oral Sci	75	75				75	169	117.5	247	75			
J Appl Phys	19	19	34	19	116	19	46	41	87.5	19	149	70.5	184
J Appl Res Intellect Disabil	2	2				2				2			
J Appl Toxicol	152	152	426.5	287	566.5	152	55	34.5	93.5	152	499.5	345	619.5
J Arthroplasty	386	386	222	177	257	386	131	75	193	386	351	297	405
J Arthropod Borne Dis	35	35				35	336	126	439	35	319	221	580.5
J Artif Organs	51	51	156	122	180	51	121	69	168	51	275	225	302
J Assoc Nurses AIDS Care	77	77				77	173	120	232	77			
J Ayurveda Integr Med	22	22	99	42	243	22	72.5	47	93	22	127	102	185
J Basic Clin Physiol Pharmacol	41	41				41	92	68	114	41	118	68	
J Behav Addict	15	15	144	131	158.5	15	69	62	130.5	15	256	200	281
J Behav Med	60	60	439.5	398.5	465	60	197	149.5	276	60	629.5	575.5	684.5
J Behav Ther Exp Psychiatry	58	58	213	180	233	58	198	153	254	58	423	368	465
J Bioeth Inq	47	47	141	85	249	47	124	50.5	166.5	47	328	145.5	385
J Biol Eng	21	21				21	162	126	236	21		63	
J Biol Phys	63	63	108	68	143.5	63	67	40	136	63	194	79.5	248
J Biomech	474	474	78	67	91	474	141	93	213	474	225	183	289
J Biomech Eng	67	67	63	54.5	94	67	160	135.5	206	67	228	189	275
J Biomed Inform	103	103	102	84	127.5	103	171	137	237.5	103	276	230.5	361.5
J Biomed Mater Res A	431	431	282	251	339	431	90	57	133.5	431	392	332	437
J Biomed Opt	37	37	22	12	31	37	78	50	108	37	107	59	128
J Biomed Phys Eng	7	7				7				7	33	27.5	70.5
J Biomed Res	74	74	95	45	178	74	52	35	103	74	167	89	251
J Biomed Semantics	21	21				21	190	118	252	21		157	
J Biophotonics	80	80	278.5	106.5	416	80	75.5	53	104	80	348	202	504
J Biophys	13	13				13	107	50	160	13	141	28	
J Blood Transfus	10	10				10	119	78	159	10			
J Bodyw Mov Ther	106	106	212	149	243	106	86.5	58	135	106	295.5	239	382
J Bone Metab	7	7	26	23	81.5	7	54	49	96.5	7	121	94.5	133.5
J Brachial Plex Peripher Nerve Inj	8	8				8	181	139	209	8		79.5	
J Bras Nefrol	29	29				29	150	89	207	29			
J Bras Pneumol	63	63				63	125	87	193	63			
J Breast Cancer	40	40	54	21.5	75.5	40	111	83	149.5	40	143.5	100	169
J Bus Res	1	1				1				1			
J Cachexia Sarcopenia Muscle	20	20	185.5	141.5	210	20	135	95.5	196.5	20	305.5	251	433
J Can Acad Child Adolesc Psychiatry	10	10	127.5	83	225	10	89	42	102	10	205.5	155	325
J Cancer	112	112				112	39.5	28	60.5	112			
J Cancer Epidemiol	21	21				21	92	47	104	21			
J Cancer Prev	10	10				10	11.5	10	20	10	1	1	31
J Cancer Surviv	46	46	169	152	185	46	90	65	161	46	269	236	344
J Carcinog	26	26				26	85.5	79	130	26		114	
J Card Surg	2	2				2				2			
J Cardiol	167	167	145	131	181.5	167	89	62	124.5	167	238	201.5	288.5
J Cardiothorac Surg	136	136				136	123.5	97.5	165.5	136	316.5	46	
J Cardiovasc Comput Tomogr	59	59				59	140	108	194.5	59			
J Cardiovasc Dis Res	28	28	113	62	190	28	79	49.5	157	28	177	111.5	225
J Cardiovasc Magn Reson	59	59				59	144	106	175	59		138	
J Cardiovasc Thorac Res	46	46				46	83	43	100	46			
J Cardiovasc Transl Res	68	68	116	97	134.5	68	49.5	41.5	64.5	68	166.5	152.5	197.5
J Cardiovasc Ultrasound	26	26	19	15	19	26	124	58	160	26	145	99	176
J Caring Sci	42	42	166	2	458	42	44	0	75	42	264	2	502
J Catal	1	1				1				1			
J Cataract Refract Surg	236	236	153.5	133	173	236	85	53	126.5	236	238.5	199	286
J Cell Commun Signal	20	20	162	115	186	20	15	1	84.5	20	183	159	277
J Cell Death	1	1				1				1			
J Cerebrovasc Endovasc Neurosurg	29	29	30	15	89	29	57	37	117	29	78	52	110
J Chem Biol	14	14	59.5	21		14	77	45	137	14	178.5	105	287
J Chem Eng Data	2	2				2				2			
J Chem Theory Comput	15	15				15				15	126	90.5	150
J Chem Thermodyn	2	2				2				2			
J Cheminform	28	28				28	83	66.5	98	28		55	
J Child Orthop	76	76	136	87.5	136	76	118	83	130	76	254	192	255
J Chin Med Assoc	102	102	240.5	200	335	102	119	88	172	102	407	314	540
J Chiropr Humanit	1	1				1				1			
J Chiropr Med	16	16	99.5	20.5	109	16	183	100.5	485	16	292	144	530
J Chromatogr A	1182	1182	64	57	72	1182	76	54	105	1182	144	118	182
J Circadian Rhythms	7	7				7	52	20	76	7			
J Clin Anesth	85	85	206	158	252	85	248	173	309	85	458	388	526
J Clin Apher	40	40	139.5	16	234	40	84	20	203.5	40	273	36	359
J Clin Biochem Nutr	71	71	137	96	152	71	50	26	79	71	193	145	235
J Clin Bioinforma	13	13				13	65	36	97	13			
J Clin Densitom	92	92				92	61	36	90	92			
J Clin Diagn Res	590	590	65	46	85	590	102	62	144	590	173	123	216
J Clin Epidemiol	197	197	170	143	201	197	195	147	287	197	387	313	492
J Clin Exp Dent	15	15	96	61	101	15	103	53.5	124.5	15	193	127.5	216.5
J Clin Exp Hepatol	10	10	199	156	275	10	148	97	184	10	340	340	533
J Clin Hypertens (Greenwich)	112	112	110	99	122.5	112	55	40.5	68	112	163	139	189
J Clin Imaging Sci	111	111				111	48	29	86.5	111			
J Clin Lipidol	81	81				81	108	77	143	81			
J Clin Monit Comput	81	81	188	148	203	81	140	88	176	81	327	285	372
J Clin Neurol	30	30	159.5	95	219	30	128	106	192	30	316	221	411
J Clin Neurosci	541	541	319	264	357	541	72	12	117	541	398	313	463
J Clin Pharm Ther	72	72	133	112.5	162	72	81.5	36	131.5	72	217	166	294.5
J Clin Pharmacol	201	201	112	85	319	201	97	71	133	201	224	168	413
J Clin Psychiatry	62	62	131	88	152	62	127.5	90	168	62	252.5	210	310
J Clin Sleep Med	1	1				1				1			
J Clin Ultrasound	101	101	503	252		101	211	164	280	101	690	507	
J Coll Physicians Surg Pak	148	148	151	104	289	148	321	231	483.5	148	562	424	646
J Colloid Interface Sci	846	846	110	101	122	846	68	50	91	846	178	160	213
J Commun Disord	46	46				46	245	192	374	46			
J Community Genet	64	64	141.5	95	221.5	64	125	101	150	64	287	206	400
J Community Hosp Intern Med Perspect	43	43				43	69	43	81	43			
J Complement Integr Med	11	11				11	178	80	560	11	644	344.5	
J Comput Chem	246	246	121	110	137	246	81	59	117	246	210	182	237
J Comput Neurosci	52	52	252	231.5	309.5	52	161.5	123	217	52	437	377.5	495.5
J Comput Phys	1	1				1				1			
J Conserv Dent	82	82	66	50	104	82	123	94	155	82	201	163	236
J Contemp Brachytherapy	19	19				19	75	63	126	19	80	40.5	100
J Contin Educ Nurs	62	62	73	63	84	62	95	63	153	62	171	129	236
J Control Release	335	335	102	90	120.5	335	100	74	128	335	210	171	258.5
J Craniomaxillofac Surg	282	282	306	265	334	282	203	138	292	282	514.5	439	585
J Crit Care	180	180	196.5	162	233.5	180	106	82	140	180	310	266	364
J Crohns Colitis	133	133	261	222	338	133	76	43	109	133	360	289	423
J Dent	179	179	74	64	100.5	179	111	66	152	179	200	161	286
J Dent (Tehran)	54	54	26	15	50	54	83.5	73	95	54	98	87	116
J Dent Res Dent Clin Dent Prospects	50	50				50	218	134	289	50	201	87	369
J Dermatol Case Rep	40	40		244.5		40	49.5	31.5	92	40	314	151	
J Diabetes	37	37	202	186	251	37	129	51	187	37	349	284	427
J Diabetes Investig	141	141	213	186	242	141	92	37	152	141	305	223	373
J Diabetes Metab Disord	41	41				41	131	76	179	41		86	
J Diabetes Res	210	210				210	57	42	98	210			
J Drug Deliv	50	50				50	67	43	82	50			
J Dtsch Dermatol Ges	59	59	129	98	166.5	59	84	52.5	102.5	59	214	169	252
J Dyn Syst Meas Control	3	3				3				3			
J East Afr Stud	3	3				3				3			
J Eat Disord	61	61				61	103	66	134	61		80	
J Echocardiogr	4	4				4				4			
J Econ Theory	2	2				2				2			
J Educ Eval Health Prof	19	19				19	67	46.5	84.5	19			
J Educ Psychol	1	1				1				1			
J Egypt Natl Canc Inst	38	38	109	87	138	38	91	63	119	38	200	161	255
J Electroanal Chem (Lausanne Switz)	1	1				1				1			
J Electrocardiol	162	162				162				162			
J Electromyogr Kinesiol	140	140	134	111	156.5	140	156	102	194	140	298	231	329
J Electron Packag	2	2				2				2			
J Emerg Med	549	549	219	183	298	549	231	170	283	549	468	394	566
J Emerg Nurs	99	99	296	126.5	430.5	99	93	43.5	162.5	99	445	209.5	548.5
J Emerg Trauma Shock	34	34	180.5	147	267	34	98	25	162	34	309.5	244	421
J Endod	361	361	119	93	139	361	135	92	168	361	252	219	286
J Eng Math	1	1				1				1			
J Environ Health Sci Eng	16	16				16	148.5	127.5	195	16			
J Environ Public Health	105	105				105	93	64	128	105		61	
J Environ Radioact	211	211	172	141	288	211	151	100	265	211	353	287	562.5
J Epidemiol Glob Health	34	34	113.5	94	170	34	149	87	229	34	259.5	218	359
J Epilepsy Res	2	2				2				2			
J Equine Sci	4	4				4				4			
J Ethics	2	2				2				2			
J Ethnobiol Ethnomed	47	47				47	133	66.5	184	47		127	
J Ethnopharmacol	752	752	73	66	82	752	121	90	160	752	195	166	234
J Eur Acad Dermatol Venereol	102	102	414.5	371	436	102	108.5	75	139	102	512	462	541
J Evid Based Dent Pract	3	3				3				3			
J Evid Based Med	19	19	30	20	65	19	21	5	44.5	19	68	49	96
J Exerc Nutrition Biochem	1	1				1				1			
J Exerc Rehabil	41	41				41	35	20	46	41			
J Exp Anal Behav	66	66	81	64	105	66	190.5	133	289	66	293	234	367
J Exp Child Psychol	148	148	135.5	115	175.5	148	183.5	142	253.5	148	346	282	425.5
J Exp Soc Psychol	3	3				3				3			
J Exp Zool A Ecol Genet Physiol	65	65	111	91	123	65	113	90	153	65	223	181	265
J Expo Sci Environ Epidemiol	53	53				53	186	137	243	53			
J Extracell Vesicles	28	28				28	107	61.5	127	28		79.5	
J Fluency Disord	23	23	96	81	140	23	165	81.5	284	23	261	215	445.5
J Fluids Eng	1	1				1				1			
J Fluoresc	183	183	126	113	129	183	102	69.5	144.5	183	226	179	275
J Foot Ankle Res	29	29				29	122	93	146	29		44	
J Foot Ankle Surg	167	167				167				167			
J Forensic Leg Med	213	213	108	72	145	213	187	141	226	213	310	252	387
J Fr Ophtalmol	160	160	238	176.5	322.5	160	64	28.5	104.5	160	321.5	234	410
J Funct Biomater	9	9				9	71	41	87	9			
J Gastric Cancer	20	20	82	30.5		20	34	26	56.5	20	43	26	99.5
J Gastrointest Oncol	29	29	102	87	110	29	29	19	33	29	127	106	168
J Gen Intern Med	185	185	180	161	203	185	170	132	212	185	353	312	412
J Gene Med	14	14		21		14	157.5	122	220	14	434.5	166	
J Genet Couns	86	86	211.5	169	247	86	181	144	280	86	412.5	320	499
J Genet Genomics	58	58	74	48	104	58	73	30	104	58	162	112	195
J Geriatr Cardiol	37	37	39	9	72	37	106	80	142	37	158	110	181
J Geriatr Oncol	67	67	122	80	138	67	169	141	196	67	276	240.5	315
J Gerontol Nurs	58	58	168	77	248	58	92	64	151	58	317	150	383
J Ginseng Res	16	16	108.5	74.5	117.5	16	89.5	65.5	134	16	199.5	149.5	222.5
J Glob Antimicrob Resist	2	2				2				2			
J Grad Med Educ	50	50	212.5	152	264	50	161.5	120	220	50	396	344	438
J Gynecol Obstet Biol Reprod (Paris)	74	74	198	119	289	74	115	79	170	74	350	241	495
J Gynecol Oncol	26	26	103	47	172	26	52.5	15	81	26	153	51	222
J Hand Microsurg	16	16	217	131	366.5	16	83	48	138	16	330	218.5	464
J Hand Surg Am	348	348	96	81.5	114	348	116	66	178.5	348	229.5	181	292
J Hand Ther	64	64				64	113	47	187	64			
J Headache Pain	53	53	348	296		53	46	12	69	53	379	348	
J Health Econ	112	112	82	71	100	112	373.5	227	502	112	449	305	583
J Healthc Qual	1	1				1				1			
J Heat Transfer	2	2				2				2			
J Hematol Oncol	49	49				49	46	33	65	49		60	
J Hosp Med	132	132	92.5	68.5	113	132	91.5	65.5	113	132	190	155	223
J Hum Hypertens	73	73	227	211	259	73	102	83	134	73	336	308	383
J Hum Reprod Sci	36	36				36	128	90.5	172	36	138	56.5	256
J Immunother Cancer	25	25				25	87	53	117	25			
J Incl Phenom Macrocycl Chem	3	3				3				3			
J Indian Prosthodont Soc	111	111	317	178	347	111	365	185	544.5	111	674	521.5	804
J Indian Soc Periodontol	106	106	64	23	123	106	412.5	256	565	106	475	282	652
J Infect Dev Ctries	55	55	292	192	392.5	55	131	87	215.5	55	406	271.5	495
J Infect Public Health	52	52	170	150	191.5	52	104	77	133	52	261.5	242	325
J Inflamm (Lond)	23	23				23	218	156	287	23	256	65	
J Inflamm Res	1	1				1				1			
J Inj Violence Res	33	33	176	145	350	33	117	91	145	33	319	233	553
J Innate Immun	92	92		156.5		92	88	45	139	92	89	37.5	320
J Int AIDS Soc	52	52				52	172	115.5	234.5	52	350.5	86.5	
J Int Oral Health	34	34	34.5	21	48	34	60	51	69	34	98	85	108
J Int Soc Sports Nutr	40	40				40	100.5	61.5	197	40		246	
J Integr Bioinform	8	8				8	53	48	57.5	8			
J Integr Plant Biol	56	56	130.5	58	151	56	61	50	89	56	189	130	216
J Intensive Care	13	13				13	80	72	99	13			
J Interv Card Electrophysiol	85	85	151	109	180	85	71	51	99	85	228	196	258
J Interv Gastroenterol	16	16		91		16	56.5	26	78	16	110.5	23.5	
J Investig Clin Dent	48	48	514	338	560.5	48	123	74.5	168	48	632.5	471	717
J Korean Assoc Oral Maxillofac Surg	10	10	11	4	242	10	47.5	28	56	10	59	45	148
J Korean Neurosurg Soc	97	97				97	186	157	252	97	181	143	247
J Korean Surg Soc	108	108	74	53	96.5	108	91	65	123	108	167.5	129	216.5
J Labelled Comp Radiopharm	90	90	134	107	152	90	65	39	107	90	208	163	264
J Lipids	22	22				22	77	69	107	22		57	
J Loss Trauma	1	1				1				1			
J Magn Reson Imaging	438	438	291	242	335	438	168.5	128	246	438	464	408	525
J Mal Vasc	25	25	78	66	144	25	128	90	188	25	235	172	346
J Mammary Gland Biol Neoplasia	34	34	49	37	52	34	67	43	87	34	113	104	130
J Manipulative Physiol Ther	69	69	129	67	587	69	190	138	305	69	390	270	1074
J Mass Spectrom	94	94	68	58	83	94	63	47	93	94	135	110	170
J Mater Chem C Mater Opt Electron Devices	1	1				1				1			
J Mater Sci Mater Med	277	277	96	84	107	277	138	96	176	277	227	185	291
J Math Anal Appl	2	2				2				2			
J Math Biol	96	96				96				96	625.5	552.5	692.5
J Math Neurosci	11	11				11	141	100	180	11	122	50	
J Maxillofac Oral Surg	96	96	433	368	518.5	96	110.5	78.5	157	96	558	488	642
J Mech Behav Biomed Mater	271	271	116	89	143.5	271	98	70.5	134	271	220	172	283
J Mech Des N Y	1	1				1				1			
J Med Case Rep	164	164				164	117.5	88	143	164		90	
J Med Device	4	4				4				4			
J Med Ethics Hist Med	16	16				16	143	52	176	16		208.5	
J Med Imaging Radiat Oncol	76	76	225	186.5	252.5	76	118.5	82.5	149.5	76	338.5	285.5	392
J Med Life	115	115	87	56	120.5	115	124	112	145.5	115	212	182	260
J Med Person	1	1				1				1			
J Med Phys	14	14	41	30	70	14	97	83	125	14	141	121	181
J Med Signals Sens	19	19		53.5		19	116	70	218	19	157	97.5	274
J Med Syst	102	102	76	52	92	102	89	61	103	102	157	127	193
J Med Ultrason (2001)	1	1				1				1			
J Ment Health Policy Econ	6	6	32	14	44	6	211.5	153	373	6	250.5	181	417
J Microbiol Immunol Infect	92	92	433.5	74	515.5	92	112.5	74.5	169	92	517	266	643.5
J Microsc	84	84	98	81	107	84	123	83.5	183	84	228	170	282
J Minim Access Surg	27	27	304	266	311	27	127	81.5	210.5	27	478	377.5	506.5
J Minim Invasive Gynecol	189	189				189	54	34	73	189			
J Mod Opt	2	2				2				2			
J Mol Diagn	85	85	116	108	138	85	132	105	183	85	254	221	305
J Mol Genet Med	1	1				1				1			
J Mol Model	423	423	123	105	150	423	76	56	116.5	423	207	176	280
J Mol Psychiatry	23	23				23	53	41	115.5	23		62	
J Mol Signal	8	8				8	151.5	83.5	185.5	8			
J Mov Disord	4	4				4				4			
J Multidiscip Healthc	1	1				1				1			
J Mycol Med	50	50	85	52	108	50	132	90	181	50	199	171	294
J Nanobiotechnology	18	18				18	85.5	59	107	18			
J Nanopart Res	36	36				36	139	108.5	202.5	36		192	
J Nanotechnol Eng Med	7	7				7				7	90	88.5	118.5
J Nat Med	137	137	286	263	314	137	91	60	153	137	385	332	437
J Negat Results Biomed	11	11				11	137	121.5	198	11	224	56.5	
J Nephropathol	41	41	121	92	245	41	28	19	52	41	150	121	272
J Neural Transm	171	171	165	130	206	171	105	71	134	171	276	205	321
J Neurodev Disord	23	23				23	119	105	187.5	23			
J Neuroeng Rehabil	46	46				46	344.5	289	359	46	289	148	319
J Neurogastroenterol Motil	51	51	38	19.5	74	51	50	18.5	76	51	95	40.5	133
J Neuroimaging	57	57		400		57	141	90	212	57		580	
J Neuroimmune Pharmacol	81	81	107	86	149	81	76	43	115	81	196	161	269
J Neuroinflammation	78	78				78	111	60	141	78		65	
J Neurol Surg B Skull Base	61	61	184	158	219	61	76	49	130	61	260	221	334
J Neurol Surg Rep	23	23	110	84.5	194	23	82	43.5	112.5	23	169	157	329
J Neuropsychol	24	24		426.5		24		281.5		24	468.5	413.5	695
J Neuroradiol	52	52	311.5	244.5	352	52	106.5	59	126	52	435	320.5	458.5
J Nucl Cardiol	58	58	122.5	107	140	58	112	89	197	58	257	198	302
J Nucleic Acids	18	18				18	56	43	76	18			
J Nurs Educ	112	112	152	130	169	112	132	98	197.5	112	276.5	241	352
J Nutr Educ Behav	100	100				100	235.5	197.5	336.5	100			
J Nutr Metab	36	36				36	97	68	138	36			
J Nutr Sci	59	59				59	169	147	207.5	59	176	81	
J Nutrigenet Nutrigenomics	26	26				26	138	70	272	26		144	
J Obes	177	177				177	96	64	128	177		36	
J Obstet Gynaecol India	88	88	483.5	214.5	805.5	88	196.5	122.5	448	88	800	496.5	1166
J Occup Med Toxicol	21	21				21	157	113	201	21			
J Ocul Biol Dis Infor	5	5				5	34	24	39	5			
J Oncol	50	50				50	78	50	123	50		114	
J Ophthalmic Inflamm Infect	46	46	79	79		46	2	1	48	46	80	65	81
J Ophthalmic Vis Res	23	23	106	33	163.5	23	65	52.5	109.5	23	203	89.5	259.5
J Ophthalmol	109	109				109	69	52	88	109			
J Opioid Manag	32	32				32	177.5	124	228.5	32			
J Optom	8	8				8	80.5	50.5	235	8			
J Oral Maxillofac Res	19	19				19	122	45	306.5	19	310	166.5	
J Oral Microbiol	19	19				19	84	61.5	91	19			
J Organ Behav	1	1				1				1			
J Organomet Chem	2	2				2				2			
J Orofac Orthop	34	34	215	195	229	34	165	83	262	34	398	282	505
J Orthop	59	59				59	118	93	165	59		203	
J Orthop Sci	175	175	103	81.5	120.5	175	135	94	194	175	237	199	333.5
J Orthop Surg Res	21	21				21	316	131	471	21	363	279	
J Orthop Traumatol	32	32	225	131	319.5	32	252.5	187.5	324.5	32	472	398.5	574
J Osteoporos	27	27				27	70	59	88.5	27		17.5	
J Otolaryngol Head Neck Surg	48	48				48	72	46	152	48	74.5	9.5	
J Ovarian Res	64	64				64	66	38.5	84	64			
J Pain	150	150	148	122	161	150	114.5	82	163	150	257	209	301
J Pain Res	1	1				1				1			
J Pain Symptom Manage	189	189	328	308	362	189	112	76	152	189	443	408	496
J Parasit Dis	72	72	627	543.5	692	72	54.5	29.5	97.5	72	693.5	603.5	759
J Parasitol Res	27	27				27	67	44	81	27			
J Pathog	18	18				18	75	48	140	18			
J Pathol Inform	78	78				78	36.5	0	70	78			
J Pediatr (Rio J)	109	109				109	72	51	103	109			
J Pediatr Adolesc Gynecol	77	77	165	139	235	77	82	57	125	77	249	225	340
J Pediatr Health Care	61	61				61	84	60	124	61			
J Pediatr Nurs	65	65				65	255	164	380	65			
J Pediatr Ophthalmol Strabismus	52	52				52	130.5	79	187	52			
J Pediatr Urol	173	173	240	203	386	173	133	77	176	173	396	332	499
J Pediatric Infect Dis Soc	16	16	274	247	338	16	151	106.5	213	16	455	393.5	547
J Perinat Med	46	46	197	171	210	46	80	51	145	46	287	244	328
J Perinatol	89	89	162	140	194	89	113	75	146	89	272	243	307
J Periodontal Implant Sci	20	20	20.5	13	55	20	46	34.5	84.5	20	64.5	44.5	142.5
J Pers Med	4	4				4				4			
J Pest Sci (2004)	4	4				4				4			
J Pharm Bioallied Sci	26	26	122	88	159	26	164.5	79	198	26	274	193	352
J Pharm Biomed Anal	443	443	114	98	194	443	75	56	105	443	213	161	314.5
J Pharm Health Serv Res	1	1				1				1			
J Pharm Policy Pract	10	10				10	101.5	23	234	10		63	
J Pharm Sci	391	391	82	75	96	391	76	54	103	391	161	135	194.5
J Pharmacokinet Pharmacodyn	48	48	60	42.5	109	48	110.5	72	140	48	181	157.5	235.5
J Pharmacol Toxicol Methods	103	103				103	68	41	100.5	103			
J Phys Chem C Nanomater Interfaces	16	16				16				16	126	77	148
J Phys Chem Lett	9	9	21	17	23	9	38	30	45	9	58	53	62
J Phys Ther Sci	278	278	121	114	128	278	36.5	29	44	278	159	146	169
J Physiol Anthropol	10	10				10	167	118	220	10	73	63	96
J Physiol Sci	75	75	95	76	129	75	96	68.5	140	75	208	159	245
J Plast Reconstr Aesthet Surg	334	334	125	113	150	334	120.5	52	174	334	259.5	196	321
J Polym Sci A Polym Chem	2	2				2				2			
J Posit Psychol	1	1				1				1			
J Pregnancy	31	31				31	83	58.5	103	31		40	
J Press Vessel Technol	2	2				2				2			
J Prev Med Public Health	31	31	37	10.5	180.5	31	96	61.5	153	31	109	86	258
J Prof Nurs	52	52				52				52			
J Prosthet Dent	9	9	197	186	216	9	164	153	190	9	369	350	386
