Jname	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Environ Sci Pollut Res Int	186	158	214	86	63	117	285	238	335
Environ. Eng. Sci.	134	82	138	304	206	426	429	285	548
Environ. Exp. Bot.									
Environ. Health Perspect.	70	59	85	221	162	265.5	297.5	225	392
Environ. Microbiol.	178	141	216	105	70	160	287	233	387
Environ. Mol. Mutagen.	79	67	137	74	51	132	185	142	251
Environ. Pollut.	115	105	125	108	75.5	150	226	194	269.5
Environ. Res.	104	69	128	162	119	206	252	216	314
Environ. Toxicol.	642	572	802	134	91	183	825	734	907
Environ. Toxicol. Chem.	117	104.5	130	99	71.5	151	223	188	267.5
Environ. Toxicol. Pharmacol.	95	64	114	135	92	174	229	178	273
Environmetrics									
Enzyme Microb. Technol.	96	75.5	120	99	74.5	124.5	205	164	259
Enzyme Res				84	41	115			
Epidemics	88	60	109	201	147	266	280	247	365
Epidemiol Health				89	62	148		313	
Epigenetics Chromatin				66.5	44	117			
Epilepsy Behav	92	78	110	52	24	81	151	128	190
Epilepsy Behav Case Rep				13	3	19			
Epilepsy Curr									
Epilepsy Res Treat				98	53	125			
Epilepsy Res.	134	85	172	161	111.5	210.5	288	249.5	330
EPMA J				53	39	62.5		74.5	
Equine Vet. J.	278	268	308	188	124.5	259.5	460	405.5	563.5
Esophagus				229	82	229			
Eur Addict Res	149	109	240	131	102	169	255	193	326
Eur Ann Allergy Clin Immunol								4	
Eur Ann Otorhinolaryngol Head Neck Dis	380.5	315	431	100.5	35	200	478	423	613
Eur Arch Otorhinolaryngol	258	201	315	95.5	65	131	362.5	293	426
Eur Arch Paediatr Dent	228	168.5	252	92	66	128.5	313	289	344
Eur Arch Psychiatry Clin Neurosci	248	111	279	132	62	172.5	392	215	440
Eur Child Adolesc Psychiatry	181.5	158	262	155	121	225.5	368.5	282	458.5
Eur Eat Disord Rev	129	105	166	130	95	176	270	207	315
Eur Econ Rev									
Eur Heart J Acute Cardiovasc Care	126	90	158	86	65	122	206	164	258
Eur J Clin Nutr	90	75	113	147	104	197	260	206	302
Eur J Drug Metab Pharmacokinet	301	211	367	223	125	240	479.5	384	591
Eur J Health Econ	409	383.5	444	233	151	334.5	653	568.5	754
Eur J Histochem				70	47	92		99	
Eur J Hosp Pharm Sci Pract									
Eur J Inorg Chem							141	141	153
Eur J Med Chem	72	63	92	97	67	133	178	143	235.5
Eur J Med Genet	73	62	83	129	78	210	207.5	153	277
Eur J Microbiol Immunol (Bp)	57	46	86	8	5	13	76	55	99
Eur J Nutr	300	221	334	123.5	96.5	170	431.5	373	464.5
Eur J Oncol Nurs	226	172	264	141	99.5	182.5	370	297	434
Eur J Oper Res									
Eur J Orthop Surg Traumatol	380	277	405	69	42	112.5	450	332.5	503
Eur J Pharm Biopharm	164	129	204	122	90	177	288	253	351
Eur J Pharm Sci	80	66	103	112	83	147	197	165	259
Eur J Plast Surg									
Eur J Popul									
Eur J Psychotraumatol				108	71	151		142	
Eur J Radiol	144	121	172	90	57	133.5	250.5	209	310.5
Eur J Surg Oncol	97	84	119	128	88	172	228	189	280
Eur J Trauma Emerg Surg									
Eur J Vasc Endovasc Surg	88	81	98	110	77	153	212.5	164	253
Eur Neuropsychopharmacol	246	150.5	327	138.5	94	187.5	377	299.5	458.5
Eur Orthop Traumatol									
Eur Phys J E Soft Matter	23	10	59	147	104	198	179	135	229
Eur Radiol	176	166	189	78	62.5	102	257	232.5	285
Eur Rev Aging Phys Act									
Eur Spine J	135	85	182	168	93	245	320.5	228	433
Eur Surg									
Eur Surg Res				115	79.5	162		309	
Eur Thyroid J							154	118	201
Eur. Biophys. J.	93	79	109	77	63	98	174	156	246
Eur. J. Appl. Physiol.	145	114	209	122	86	164	269	229	346
Eur. J. Cancer	124	111	139	88.5	58	128.5	216	177	260.5
Eur. J. Cell Biol.		108		98	62	134		258	
Eur. J. Clin. Invest.	89	82	99	128	94	170	224	182	262
Eur. J. Clin. Microbiol. Infect. Dis.	171	160	179	46	34	62	214	201	236
Eur. J. Clin. Pharmacol.	144	127	185	88	56	125	243	194	315
Eur. J. Epidemiol.	52	20	70	159	97	217	203	132	257
Eur. J. Hum. Genet.	270.5	262	284	131	98	159	404	378	428
Eur. J. Immunol.	84	73	99	137	97	193	220.5	185	283
Eur. J. Intern. Med.	125	101	177	82.5	54	120	223	180	283
Eur. J. Med. Res.				157	122	197		119	
Eur. J. Neurol.	176	147.5	212.5	90	62	117.5	275	226	322.5
Eur. J. Neurosci.	103	94	115	108	68	174	208	172	268.5
Eur. J. Nucl. Med. Mol. Imaging	127	112	139	87	59.5	117.5	213	175	250
Eur. J. Obstet. Gynecol. Reprod. Biol.	93	80	121	180	136	223	276	231	327
Eur. J. Paediatr. Neurol.	169	146	194.5	129	89	199.5	301	238	366
Eur. J. Pediatr.	141.5	123	171	65	43	92	213	178	290
Eur. J. Pharmacol.	70	50	88	132	97	172	209.5	171	257
Eur. J. Protistol.	230	180.5	255.5	124	97.5	210	400	274	462.5
Eur. Neurol.		124		93	69	137		167.5	
Eur. Psychiatry	374	277	467	116.5	71	160	487	342	592
Eur. Urol.	175	130	235.5	56	46	71	244	178	316
Eurasian J Med	97	85	147	66	44	95.5	178	134	242.5
EURASIP J Bioinform Syst Biol				137.5	91.5	334.5		329	
European J Org Chem							101	63	118
European J Pediatr Surg Rep									
Eval Program Plann	149	141	173	258	211	337	434.5	324	532
Evid Based Complement Alternat Med				77	54	109			
Evid Based Spine Care J	119.5	74	148	111	68	151	208.5	187.5	268
Evodevo				69	59	76		70	
Evol Appl	144	124	158	137	102	166.5	283	210	344
Evol Biol				147	100	194		252	
Evol. Anthropol.									
Evol. Bioinform. Online									
Evolution	151	140	162.5	136	97	202.5	301	240	365
Exp Brain Res	75	65	89	117.5	75	175	201.5	146.5	267
Exp Hematol Oncol				40	11	57			
Exp Neurobiol				11	7	28.5	26	6.5	
Exp Ther Med	75	66	87	72	60	85	150	131	169
Exp Transl Stroke Med				20.5	12	63			
Exp. Appl. Acarol.	194	174	208	109	76	165	305.5	270	370
Exp. Cell Res.	89	72	112	91	55	131	183	160	226
Exp. Eye Res.	78	66	91	113	79	148	205	156	245
Exp. Gerontol.	88	65	174	117	74	158	229	176	320
Exp. Hematol.	112	99	120	104	53	141	220	168.5	263
Exp. Mol. Med.				130	61	187			
Exp. Mol. Pathol.	88	72	121	96	22	191	194.5	143	293
Exp. Neurol.	124	87.5	200.5	94	64	139	247	188.5	289.5
Exp. Parasitol.	81	69.5	95	183	124	237	265	197	314.5
Exp. Toxicol. Pathol.	339	238.5	495	128	92	223.5	496	322	713.5
Explore (NY)									
Extrem Physiol Med				124	93.5	149	311	91.5	
Extremophiles	55	49	73	84	59	123	144	121	185
Eye (Lond)	116	102	132	161.5	122	202	282	217	319
Fam Process									
FEBS J.	68	58	95	77	55	111	160	133	212
FEBS Lett.	57	51	64	52	33	77	114.5	92	141
FEBS Open Bio				48	24	71			
FEMS Microbiol. Ecol.	143	130	159	116	89	160	268	227	320
FEMS Microbiol. Lett.	72	63.5	85	49	31.5	72	125	101	149
FEMS Microbiol. Rev.	189	147.5	259	138	106	210	351	284	425
FEMS Yeast Res.	95	84	120	97	55.5	126	212	151	241.5
Fertil. Steril.	115	102	123	79	46	116	194	154	232
Fetal. Diagn. Ther.		147		81	47	120	255	86	
Fibrogenesis Tissue Repair				69.5	41	93		42	
Fish Physiol. Biochem.	232	209	263	144	102	192	393	328	438
Fish Shellfish Immunol.	83	68	93	96	74	133	178	153	226
Fitoterapia	68	50	83	77	51.5	112	141	111	185.5
Fluids Barriers CNS				128	82	140	85.5	60	
Folia Histochem. Cytobiol.				0	0	110			
Folia Microbiol. (Praha)	226	189	249	179	135	270	417	353	484
Folia Morphol. (Warsz)	135	50	149	37	31.5	42.5	175	77	197
Folia Primatol.				215	158	287	179	72	270
Food Biophys									
Food Chem	197	174	222	146	96	235	347	297	432
Food Chem. Toxicol.	102	86	115	91	63	137	199	167	247.5
Food Environ Virol	91.5	13	120	75.5	51	96	162	152	171
Food Microbiol.	172	152	198	159	110	199	326	291	408
Food Nutr Res				150	65	215		182	
Food Sci Nutr	87	68.5	100	73	66	106	167	152	188
Foot (Edinb)	120	82.5		149	90	324.5	448.5	225.5	
Foot Ankle Surg	168	143	183	123	75	202	299	248	386
Forensic Sci Int Genet	117	93	184	109	77	185.5	272	203	330
Forensic Sci. Int.	98.5	82	130	165	107	249	284	223	374
Forensic Toxicol									
Found Phys									
Free Radic. Biol. Med.	129	106	150	131	90	171	262	222	308
Front Aging Neurosci				60	43	84			
Front Behav Neurosci				70	48.5	99			
Front Bioeng Biotechnol				53	30	72			
Front Cell Dev Biol				18	18	27			
Front Cell Infect Microbiol				60	42	91			
Front Cell Neurosci				66	49	89			
Front Chem				50	35	75			
Front Comput Neurosci				97.5	77	134			
Front Endocrinol (Lausanne)				69	42	102.5			
Front Evol Neurosci									
Front Genet				68	44	104			
Front Hum Neurosci				93	65	129			
Front Immunol				65	42	85			
Front Integr Neurosci				84	55	127			
Front Life Sci									
Front Med	100	83	134	125	76	209	254	172	309
Front Microbiol				74	48	106			
Front Mol Neurosci				66	42	97			
Front Neural Circuits				84.5	62	120			
Front Neuroanat				66	44.5	104			
Front Neuroendocrinol	84	60	130	134	105	148	216	171	240
Front Neuroenergetics				47.5	46	56			
Front Neuroeng				91	71	173			
Front Neuroinform				84	53	130			
Front Neurol				70	47	102			
Front Neurorobot				95	60	109			
Front Neurosci				82	53	107			
Front Oncol				68.5	44	95			
Front Pediatr				46.5	24	74			
Front Pharmacol				58	40	93			
Front Physiol				73	42.5	103			
Front Plant Sci				70	48	89			
Front Psychiatry				76	50	116			
Front Psychol				93	63	134			
Front Public Health				44.5	22	80			
Front Synaptic Neurosci				69	58	76			
Front Syst Neurosci				94.5	66.5	134			
Front. Zool.				119	71	176			
Frontline Gastroenterol	189.5	113	232	54.5	3	112	224.5	209	235
Funct. Integr. Genomics	64	49	98	112	80.5	143.5	183	173	207
Fundam Clin Pharmacol	403.5	339.5	484.5	144	116	219	571	496	631.5
Fungal Biol	51	42	75	149	106	209	224	161	366
Fungal Biol Rev									
Fungal Genet. Biol.	80.5	65	108	102.5	69	148	205	154	272
G3 (Bethesda)	54	47.5	62	65	34.5	88	118	87	141.5
Gac Sanit				84.5	68	106.5			
Gait Posture	174	127	194	219	152.5	274	361	300	448
Games Econ Behav									
Gastric Cancer	312.5	287	334	121	98	158	428.5	390	473
Gastroenterol Hepatol	199	125	308	12	4	48	208	159.5	324.5
Gastroenterol Hepatol Bed Bench				64	58	72		88	
Gastroenterol Res Pract				65.5	40	95			
Gastroenterology	102	91	113	116	61	190.5	222	162.5	299
Gastrointest Cancer Res		29		46.5	28	60	46	25	60
Gastrointest. Endosc.	137	120	162	87	59	157	241	188	326
Geburtshilfe Frauenheilkd	27	10	61	79	29.5	118	123	52.5	210.5
Gen Hosp Psychiatry				88	61	129			
Gen Thorac Cardiovasc Surg	387	199		181	94		313	207	415
Gen. Comp. Endocrinol.	107	89	130	94	62	135	221	172	256
Gen. Physiol. Biophys.	194	144	220	109	76	155	302	270	345
Gene	100	90	114	94	64	141	203	164	251
Gene Expr. Patterns		164		106	75	165		291	
Gene Ther.	186	161	220	128	86	159	316	280	354
Genes (Basel)				48	40	53			
Genes Brain Behav.	72	48	95.5	120	76	142	182	156	229
Genes Cancer		267		87	55	98	94	51	533
Genes Cells	99	89	106.5	47	25	89	147	120	199
Genes Chromosomes Cancer	117	108	135	105	65	147.5	228	189.5	262.5
Genes Genomics									
Genes Immun.		131		72	66	101.5		245	
Genes Nutr	163	128	207	102	63	141	274	233	337
Genesis	92	74	108	64	37	145	169	131	210
Genet Res Int				80	75.5	104			
Genet. Epidemiol.	93	84	115	128	87	146	221	185	261
Genet. Med.	209	191	249.5	78	47.5	112	287	236.5	345
Genet. Mol. Biol.	111.5	97	138	131	94.5	174	242	219	282
Genet. Sel. Evol.				177	155	209		21	
Genetica	45	19.5		173	125.5	240	197	155	269
Genome Announc	35	13	67	11	7	18	41	21	69
Genome Biol.				133	105	165			
Genome Integr									
Genome Med				108	73	140			
Genomics	97	73	131.5	109	65.5	162	236	149.5	268
Genomics Inform	10	8	24.5	27	23	53.5	47	32.5	91
Genomics Proteomics Bioinformatics	43	23.5	92	46	15	73	97	49	182
Geobiology	90	79	101	129	91	188.5	225	198	274
Geochem. Trans.									
Geoderma									
Ger Med Sci								67	
Geriatr Nurs				157	108	242			
Germs	3	2	12	48	38	60	60	38	90
Gerontology		123		121	81.5	162	184	87	307
Gigascience				93.5	77.5	149			
Gland Surg		23.5		29.5	27	33	12.5	9	46
Glia	123	110.5	134.5	126	84	186.5	270.5	214	309
Glob Cardiol Sci Pract				55	20	104.5			
Glob Chang Biol	137	122	148	78	42	121	209.5	180	264
Glob Change Biol Bioenergy									
Glob Health Action		51		90	74	159	154	116	
Glob Health Sci Pract	82	60	93	98	67	147.5	177	156.5	265
Glob Heart	25	18	81	38	16	61.5	66	46	124
Glob J Health Sci	90	70	116	21	16	33	119	99	144.5
Global Health				149.5	123.5	204		79	
Global Spine J	136	70	203	98	70	170	245	169	377
Glycoconj. J.	197	140.5	275.5	63.5	47	85	281	222	330.5
GMS Z Med Ausbild		100.5		149	116.5	172	155	35.5	
Graefes Arch. Clin. Exp. Ophthalmol.	129	97	194	113	83	151	259	212	338
Ground Water				167	145	209			
Growth Horm. IGF Res.	109	102	123	152	118	185	257	231	322
Gut Liver	265	234	287	73	47	114	344	287	386
Gut Pathog				36	29.5	50			
Gynecol Obstet Fertil	69	52	233.5	154.5	35.5	246	236.5	92	405
Gynecol Oncol Case Rep				53	38	60			
Gynecol Surg									
Gynecol. Obstet. Invest.		171		194	112	281	311	150	
Gynecol. Oncol.	88	79	98	61.5	46	83	150	134	183
Hamostaseologie		97		59	43	90	198	156	
Harm Reduct J				351.5	267	574	731	302	
Head Face Med				80	47.5	96		34.5	
Head Neck	390	385.5	415.5	201	140.5	258.5	596	529.5	686
Head Neck Pathol	172	22	226	72	40	144	211.5	184	292
Health Care Manag Sci	280.5	213	312	179	125	240	449	402	558
Health Econ	409	386	445	360	258	456	769	650	865
Health Econ Rev				105	81	168		86	
Health Info Libr J	165.5	105	203	439.5	278	542	578	458	767
Health Place	91	65	105	209	146	270	285	247	365
Health Policy	98.5	72	147	207	162	269	309	260	403
Health Promot J Austr	71	28	133	181	137	250	255	238	309
Health Promot Perspect				98	82	107			
Health Psychol Behav Med				75	66.5	109			
Health Psychol Rev									
Health Qual Life Outcomes				149.5	121	200.5		83	
Health Res Policy Syst				160	114	195		76.5	
Health Syst (Basingstoke)									
Healthc Inform Res				69.5	40.5	130.5	101	16	118
Hear. Res.	115	82.5	173.5	131	79	175	283	211	332
Heart Asia									
Heart Int									
Heart Lung				171	84	239			
Heart Lung Circ	196	155	233	75	33	117	284	227	333
Heart Rhythm							179	148	229
Heart Vessels	364	327	396	131	99	170	499	443	534
Hell J Nucl Med				40	22	55			
Hematol Oncol	327	305.5	376.5	97	73.5	139	454	397	488
Hematol Oncol Stem Cell Ther				78	37.5	122.5			
Hematol Rep		18		89	73	117	203	128	
Hemodial Int							327	292.5	357.5
Hepat Mon				91	46	135		173	
Hepat Res Treat				66	47	92			
Hepatobiliary Surg Nutr	132.5	101	172	31	30	33	141	126	192
Hepatol Int									
Hepatol. Res.	301	270	384.5	78	46.5	132.5	386	331	487
Hepatology	167	149	189	116	76.5	155.5	292	246	344
Hered Cancer Clin Pract				140	110	228		88	
Heredity (Edinb)	169	155	186	158.5	124	216	338	289.5	401
Hernia	205.5	94.5	400	179.5	126	258.5	437	268.5	615.5
Herpesviridae									
Herz	320	274	365	57	27	94.5	377	326.5	434
Herzschrittmacherther Elektrophysiol	31.5	30	58	20	4	28	59	50	82.5
High Blood Press Cardiovasc Prev	119.5	67.5	230.5	39	25.5	50.5	129	91.5	203
HIM J									
Hippocampus	132.5	113	137	137	114	194	281	241	330
Hist Cienc Saude Manguinhos	425	333		213	153	397	759	547	
Histopathology	122	107	136	92	60	120	205	175	245
HIV AIDS (Auckl)									
Homeopathy	64	54	97	211.5	148	396	296.5	227	466
Homo	132	100	166	246	183	377.5	380	332	520.5
Horm Behav	51	34	75.5	132	98	159.5	193	155	234
Horm Cancer	119	111	134	61	43	78	194	149	215
Horm Mol Biol Clin Investig	45	44	74.5	44	18.5	56	102	71	121
Horm Res Paediatr				115	89	147		65	
HPB (Oxford)	280	160	341	86.5	60	123	377.5	252	430
HPB Surg				108.5	102	124			
HSS J	94	76	180	142	93	223	270	216	368
Hum Brain Mapp	494	365	574	156	112	221	656	507	754
Hum Ecol Risk Assess									
Hum Mov Sci	166	135	200	289.5	182	372	450	346	579
Hum Psychopharmacol	94	63	124	146	87	195	247	184	296
Hum Resour Health				199	143.5	265.5		188	
Hum. Cell	154	108.5	193.5	65	51	87	224	149.5	331
Hum. Genet.	116	104	131	94	64	127	211	175	251
Hum. Genomics				42	23	76			
Hum. Hered.				103.5	83	157		500	
Hum. Immunol.	108	94	114	144	113	186	255	213	296.5
Hum. Mutat.	103	90.5	118	112	83	151	216	185	255
Hum. Pathol.	204	171	243.5	72	50	104	282	247	322.5
Hypertens. Res.	201	194	212	103	63	144	309	263	344
IMA Fungus	100	68.5	112.5	92	59.5	157	193	154	214
Imaging Sci Dent	138	116	169	53	42	79	204	171	261
Immun Ageing				116	80	165		1	
Immune Netw	34	6		18	17	24	24	16	40
Immunity	100	79	122	190	138	241	274	233	349
Immunobiology	228	164	286	129.5	70.5	170.5	369.5	283.5	441
Immunogenetics	98	86.5	105	66	44	93.5	157	141	199
Immunol. Cell Biol.	76	66	99	98	49	122	168.5	135	222
Immunol. Lett.	55	26		91	64	114	143.5	94	
Immunol. Rev.									
Immunology	142.5	125	156	84.5	62	134	232.5	196	290
Implement Sci				164.5	66.5	224		80	
In Silico Pharmacol				56	25	84			
In Vitro Cell. Dev. Biol. Anim.	78.5	45	104	101	71	147	183.5	141	243
Indian Heart J				163.5	118	211			
Indian J Clin Biochem	249	172	319.5	81	51.5	122.5	342	280	405
Indian J Community Med	201	197	260	313	194	438	573	385	696
Indian J Gastroenterol	140	103	156	219	173	310	365	310	450
Indian J Hematol Blood Transfus	495	460	566	126	90	227	653	589	740
Indian J Otolaryngol Head Neck Surg	215	109	493	78	46	150	330	200	549
Indian J Pediatr	216.5	132	305	170	117	239	406	260	536
Indian J Pharm Sci	56.5	30		173	139	260	209	170	255
Indian J Pharmacol				202.5	144	285			
Indian J Plant Physiol									
Indian J Surg	361	263	502	207	108	547	797	544	963
Indian J Surg Oncol	134	102	165	87	35	180	238	183	318
Indian J Virol	121	53	142	162	119	222	267	204	320
Indian J. Microbiol.	208	153	253	70.5	14	118	290	194	374
Indian Pediatr	202	178	230	155	114.5	258	360	303	499.5
Indoor Air	235	221.5	249.5	133	88	164.5	365	295	423.5
Inf Retr Boston									
Infant Behav Dev	121	79	155	179	140	267	348	275	387
Infect Chemother	94	74		122	96	501	193	120.5	219
Infect Dis Obstet Gynecol				91.5	72	120		97.5	
Infect Dis Poverty				71	54	96			
Infect Dis Rep	215	107		98	0	111	107	53	205
Infect Dis Ther							172	118.5	184
Infect Disord Drug Targets				193.5	57.5	265.5		168.5	
Infect Ecol Epidemiol				141	90.5	181			
Infect. Agents Cancer				98.5	65	149			
Infect. Genet. Evol.	98	84.5	121	91	64	120	199	162	248.5
Infection	157	120	178	97	66	127	255	233	270.5
Inflamm Allergy Drug Targets	49	13	64	73	52	125	114	86	155
Inflamm. Res.	91	81.5	108	142	103	212	236	197.5	310
Inflammopharmacology	162	90	263	64	43	80	223	162	358
Influenza Res Treat				58	47	104			
Injury	175.5	123	256	112.5	80.5	161	311.5	252	418
Inorganica Chim Acta									
Insect Biochem. Mol. Biol.	84	69	96	74.5	46	107	156	127	199
Insectes Soc									
Insights Imaging	93.5	63.5	106	82.5	36.5	105	167	109	221
Int Arch Med				109	84	162		136	
Int Arch Occup Environ Health	376	350	399	180	154	234	563	515	617
Int Braz J Urol				180	124	213.5			
Int Breastfeed J				250.5	217	283		85	
Int Cardiovasc Res J	41	19.5	76.5	57	25.5	79	105.5	76.5	125.5
Int Emerg Nurs	316	280	363	100	65	156	429	386	503
Int Endod J	245.5	226	274	142.5	98	202	400	348	460
Int Forum Allergy Rhinol	178.5	141.5	218.5	109	68.5	161.5	281.5	247	339.5
Int J Adolesc Med Health	223	151	344	48	42	60	260	117	380
Int J Adolesc Youth									
Int J Alzheimers Dis				61	40	90			
Int J Anal Chem				69	63	96			
Int J Appl Basic Med Res		73		227	196	267	252	151	312.5
Int J Behav Nutr Phys Act				191	158	242		129	
Int J Biochem Mol Biol				22	15	37			
Int J Biomater				93.5	66	134.5			
Int J Biomed Imaging				97.5	83	143.5			
Int J Biomed Sci	65	41	92	28	24	31	84	28	103
Int J Biometeorol	354	325	412	161	104	234	535	480	607
Int J Bipolar Disord				50	34	79			
Int J Breast Cancer				63	54	87.5			
Int J Burns Trauma				33	21	50.5			
Int J Cardiovasc Imaging	148	118	176	102	63.5	147.5	259	201	329
Int J Cell Biol				68	46	90			
Int J Circumpolar Health				68	47	108		72	
Int J Clin Exp Med				32	21	41			
Int J Clin Exp Pathol				28	20	39			
Int J Clin Pediatr Dent				85	61	115	83	52.5	
Int J Clin Pharm	103	95	126	165	116	220	276	239	328
Int J Clin Pract Suppl									
Int J Comput Assist Radiol Surg	227	192	246	123	89.5	154.5	333	294	397.5
Int J Comput Vis									
Int J Cosmet Sci	133	109	161.5	99	65	116	235.5	183	253.5
Int J Cult Ment Health									
Int J Dent				77	53	119			
Int J Eat Disord	157	146.5	169.5	154	119.5	204	339	274	405.5
Int J Emerg Med				119	95.5	174		83.5	
Int J Endocrinol				78	48	105			
Int J Endocrinol Metab	169	150.5		95	50.5	142	203	81.5	309.5
Int J Environ Res Public Health	15	8		50	39	63	55	43	72
Int J Equity Health				150.5	117	183		122	
Int J Evol Biol				69	48	108			
Int J Exp Pathol	135	106	148	109	96	155	250	165	308
Int J Family Med				92	65	109		95	
Int J Fertil Steril	181	151.5	237	224	128	285	405	343.5	466
Int J Gen Med									
Int J Genomics				89.5	63	112			
Int J Geriatr Psychiatry	316	282	336	136	101	189	439	403	501
Int J Gynaecol Obstet	101	98	110	148	109	180	253	216	284
Int J Health Care Finance Econ	92	74	110	322	165	470	419.5	293	562
Int J Health Geogr				78	59	100		21	
Int J Health Plann Manage				210.5	130	318			
Int J Health Policy Manag		38		17	13	51	64	39	
Int J Hematol Oncol Stem Cell Res				18	14	26			
Int J Hepatol				82	50	109		21	
Int J High Risk Behav Addict	121.5	83		64	10	136.5	226	138	
Int J Hyg Environ Health	287	226	335	168.5	132	250	478.5	423	512
Int J Hypertens				70	51	87		41	
Int J Inflam				61	38	91			
Int J Integr Care				226	142	290		80	
Int J Lab Hematol	217	130	257	65	25	117	294	150	377
Int J Med Chem				69	57	79		77	
Int J Med Inform	121	96	165.5	213	146	291.5	347	268.5	456
Int J Med Robot	337.5	243.5	384	204	151.5	274	509	417.5	628.5
Int J Med Sci				102	71	142		94	
Int J Ment Health Syst				58	38	77		74	
Int J Methods Psychiatr Res	447	273	612	170	154	190	609	463	818
Int J Microbiol				62	54	80			
Int J Mol Cell Med				24	21	34			
Int J Mol Epidemiol Genet				26	15	39			
Int J Mol Imaging				96.5	67	129		80	
Int J Mol Sci				50	33	71			
Int J Nanomedicine									
Int J Nephrol				70	54	123.5		117	
Int J Nephrol Renovasc Dis									
Int J Numer Method Biomed Eng	163	145.5	177.5	195	124.5	238.5	351	299	410
Int J Nurs Stud	230	205	262	216	157	267	440	382	516
Int J Obes (Lond)	265.5	187	285.5	128	84	168	373	327	421.5
Int J Obstet Anesth	112	91	152	131.5	109	206	287	208	329
Int J Occup Environ Med	38	33	69	74	56	78	111	96	166
Int J Occup Med Environ Health	141	36	219	228	162	285	292	257	392
Int J Older People Nurs	528	509	591	185	142	261	764	724	789
Int J Ophthalmol				154.5	98.5	230		71	
Int J Oral Maxillofac Surg	172	132	212.5	209	149	265.5	396	304	455
Int J Oral Sci	84	66	137	171	159	234	245	203	352
Int J Otolaryngol				71	61	106			
Int J Parasitol Drugs Drug Resist	178	129	321	155	55	251.5	401	342	427
Int J Parasitol Parasites Wildl	218	120.5	261	66	54	107	317	244.5	344
Int J Pediatr				72	50	111			
Int J Pediatr Endocrinol				95	60	116		64	
Int J Pept				89.5	67	99		42	
Int J Pharm	76	55	97	82	60	110	163	125	209
Int J Pharm Pract	328	309.5	361	252	219	312	589	530	690
Int J Physiol Pathophysiol Pharmacol				41	33	62.5			
Int J Plant Genomics				78.5	69	87		19	
Int J Prev Med	143	66	341	89.5	30	181	306	119	454
Int J Proteomics				97.5	75	120	80	59	
Int J Psychol	360	322	434	355	148	502	738	528	916
Int J Psychophysiol	76	50	133	146	104	197	235	192	296
Int J Public Health	232	161	290	193.5	145	300.5	444.5	349.5	540
Int J Rheumatol				65	49.5	74.5			
Int J Stomatol Occlusion Med									
Int J Stroke	490	425	511	101	65	137	580	517	645
Int J Surg				100	59.5	150.5		83	
Int J Surg Case Rep				62	26	106		105	
Int J Surg Oncol				97	60	127			
Int J Telemed Appl				114	84	120		23	
Int J Thermophys									
Int J Tryptophan Res									
Int J Vasc Med				76	54	95			
Int J Womens Health									
Int Marit Health				0	0	0			
Int Neurourol J				15	5	31		32	
Int Ophthalmol	269	220	317	104	50	225	391	315	500
Int Orthop	86	70	105	32	10	57	126	101	151
Int Urogynecol J	225	197	251	92	63	129	322	275	373
Int Urol Nephrol	185	72	275.5	66	42	99	253	124	382
Int Wound J	711.5	51	737	65.5	39	107	764	165	801
Int. Arch. Allergy Immunol.		147		148	101.5	178	289	128.5	
Int. Biodeterior. Biodegradation									
Int. Immunopharmacol.	66	46	111	90.5	55.5	145	166	113	230
Int. J. Antimicrob. Agents	112	101	125	67.5	41.5	107	185	149	220
Int. J. Biochem. Cell Biol.	87	76	98	96	68	131	186	154	226
Int. J. Biol. Macromol.	93	83	103	59	44	77.5	154	136	174
Int. J. Biol. Sci.				67	49.5	109			
Int. J. Cancer	215	206	230	113	74.5	153	333	291	384.5
Int. J. Cardiol.	258	116	553	140	90	194	391.5	285	658
Int. J. Clin. Oncol.	416	374	456	117	71	181	499	439	553
Int. J. Clin. Pract.	164	126	191	74	49	110	246	202	285
Int. J. Dermatol.									
Int. J. Dev. Neurosci.	135	101.5	206.5	127	75.5	164	258	196	376
Int. J. Drug Policy	158	102	203	156	109	209	334	260	374
Int. J. Food Microbiol.	70	56	81	129	95	174.5	199	161	252
Int. J. Hematol.	44	27	54	94	62	152	145	101	203
Int. J. Immunogenet.	243	218	289	131.5	77	209	404	326	466
Int. J. Impot. Res.		271		213	147	302		498	
Int. J. Infect. Dis.	171	142	202.5	85	43	145	267	225	338
Int. J. Legal Med.	220.5	146.5	309.5	82	55	120	304	236.5	397.5
Int. J. Med. Microbiol.	84	56	109	99	66	151	191	142	276
Int. J. Mol. Med.	80	69	97	60	53	70	143	130	161
Int. J. Oncol.	87	73	108	49	43	56	136	122	161
Int. J. Parasitol.	106	90	125	65	50	89	174	159	208.5
Int. J. Pediatr. Otorhinolaryngol.	79	70	94	82	61	113	165	139	200
Int. J. Primatol.		106		69	37.5	96		151.5	
Int. J. Radiat. Oncol. Biol. Phys.	138	119	169	88	63	125	234	195	302
Int. J. Urol.	231	160	258	112	69	161	358	227	408
Integr Environ Assess Manag	137.5	82	203	107.5	86.5	161	264	160.5	395.5
Intelligence									
Intensive Care Med	103.5	90	124	106.5	34	171	222	134	286
Intensive Crit Care Nurs	191	176	222	219.5	180	343	453.5	372	511
