Jname	Jarticles	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Neurosci. Res.	141	202	158	
Shanghai Arch Psychiatry	11	202	170	226
Exp Brain Res	416	201.5	146.5	267
J. Invertebr. Pathol.	132	201.5	158	267
Ann Transl Med	27	201	110	293
CA Cancer J Clin	13	201	201	214
J Conserv Dent	82	201	163	236
J Dent Res Dent Clin Dent Prospects	50	201	87	369
J. Clin. Virol.	305	201	172	238
J. Gastrointest. Surg.	273	201	167	232
Anesth Pain Med	39	200	103	
Ann Epidemiol	139	200	165	263.5
Environ Int	231	200	163	242
J Dent	179	200	161	286
J Egypt Natl Canc Inst	38	200	161	255
Neuroscience	822	200	165	244
Sci. Total Environ.	1197	200	155	260
Virus Genes	128	200	177	234.5
Asian-australas. J. Anim. Sci.	132	199.5	169.5	229.5
J Ginseng Res	16	199.5	149.5	222.5
AAPS J	151	199	161	229.5
Food Chem. Toxicol.	707	199	167	247.5
Infect. Genet. Evol.	400	199	162	248.5
Int. J. Food Microbiol.	387	199	161	252
J Mycol Med	50	199	171	294
Nat Nanotechnol	123	199	162	262
Adv Biomed Res	107	198	132	313
Atherosclerosis	483	198	154	243
Hamostaseologie	41	198	156	
J. Mol. Recognit.	25	198	153	263
Lett. Appl. Microbiol.	172	198	169	249
Leuk. Res.	278	198	169	238
Lipids	135	198	136.5	252
Lung Cancer	304	198	171.5	231.5
Acad Radiol	156	197	172	247
Biotechnol J	112	197	171	232
Eur J Pharm Sci	341	197	165	259
Genetica	44	197	155	269
J. Clin. Immunol.	194	197	178	232
Mol. Cell. Biochem.	392	197	170	232
Pigment Cell Melanoma Res	104	197	164	261.5
Trends Genet.	93	197	148	226
Nutr Res Pract	26	196.5	136	277
BMC Emerg Med	14	196	70	
Cancer Res Treat	31	196	127	297
Dev. Neurosci.	66	196	81	
Diabetes Metab J	18	196	171	232
J Neuroimmune Pharmacol	81	196	161	269
Med. Hypotheses	440	196	146	238.5
Naunyn Schmiedebergs Arch. Pharmacol.	107	196	163	244
Arq Neuropsiquiatr	73	195	152	271
Biologicals	70	195	136	256
Diagn. Microbiol. Infect. Dis.	377	195	164	227
J Ethnopharmacol	752	195	166	234
J. Food Sci.	274	195	152	254
Lung	79	195	158.5	231
Microvasc. Res.	101	195	152	247
Rev Bras Cir Cardiovasc	33	195	158	
Saudi J Biol Sci	69	195	144	261
Exp. Mol. Pathol.	66	194.5	143	293
Br J Guid Counc	6	194	193	198
Cell Prolif.	34	194	184	217
Chromosoma	51	194	154	238
Clin. Exp. Pharmacol. Physiol.	61	194	156	245
Fertil. Steril.	601	194	154	232
Horm Cancer	30	194	149	215
J Biol Phys	63	194	79.5	248
J. Hazard. Mater.	829	194	157	246
Pharmacol. Biochem. Behav.	250	194	147	246
Trends Plant Sci.	85	194	167	224
Semin. Cancer Biol.	38	193.5	141	327
Biol. Cell	52	193	161	248.5
Complement Ther Clin Pract	45	193	163	246
EMBO Rep.	123	193	139.5	228
Horm Behav	179	193	155	234
IMA Fungus	16	193	154	214
Infect Chemother	31	193	120.5	219
J Clin Biochem Nutr	71	193	145	235
J Clin Exp Dent	15	193	127.5	216.5
Ophthalmol Ther	7	193	128	195.5
Diabetologia	292	192.5	165.5	224
Arch. Microbiol.	89	192	136	236
Cell	255	192	148.5	247.5
Chromatographia	15	192	22	
J. Infect.	113	192	170	249
Neurochem. Int.	221	192	153	242
Oral Oncol.	142	192	165	248
Mar. Pollut. Bull.	516	191.5	160	240
Acta Paediatr.	310	191	158	234
Brain Res.	725	191	148	239
Cell Res.	31	191	136	243.5
Cryobiology	89	191	164	224
Int. J. Med. Microbiol.	66	191	142	276
Prostaglandins Leukot. Essent. Fatty Acids	114	191	146	288
Ann Cardiol Angeiol (Paris)	41	190	114	567
AoB Plants	41	190	67	
Aquat. Toxicol.	285	190	153	231
Arch. Med. Res.	85	190	159	217
J Hosp Med	132	190	155	223
J. Biotechnol.	329	190	146	262
Knee Surg Relat Res	31	190	135	253
Life Sci.	296	190	158	229
Respir Physiol Neurobiol	292	190	162	247
AAPS PharmSciTech	143	189	163	227.5
BMC Int Health Hum Rights	29	189	82	
Ecol. Lett.	150	189	163	230
Electrophoresis	410	189	163	243
J Integr Plant Biol	56	189	130	216
J. Immunol. Methods	193	189	155	237
Langenbecks Arch Surg	119	189	132	254.5
Trends Cell Biol.	86	189	172	210
Nat. Methods	166	188.5	146	238
Cell Biol. Toxicol.	23	188	147.5	206
J. Dermatol.	134	188	154	226
J. Korean Med. Sci.	263	188	148.5	236
J. Mol. Biol.	407	188	154	237
J. Membr. Biol.	122	187.5	143	264
Cytokine Growth Factor Rev.	41	187	127	233
JACC Cardiovasc Interv	143	187	172.5	222
Obstet Gynecol Sci	53	187	143	242
Water Air Soil Pollut	22	186.5	153	
Cardiorenal Med	22	186	131	198
Chem. Biol. Interact.	163	186	157	237
Int. J. Biochem. Cell Biol.	325	186	154	226
J. Neurochem.	360	186	145	231.5
Lab. Invest.	51	186	166	250
Plant J.	310	186	145	219
Tuberc Respir Dis (Seoul)	36	186	93.5	235.5
Am. J. Cardiol.	708	185.5	163	207
Ann Nucl Med	128	185.5	160	232.5
J. Bioenerg. Biomembr.	40	185.5	166.5	247.5
Anal. Biochem.	386	185	162	211
Clin Obes	29	185	115	258
Comp. Biochem. Physiol. Part D Genomics Proteomics	24	185	155.5	260
Curr Clin Pharmacol	16	185	15	379
Environ. Mol. Mutagen.	82	185	142	251
Int. J. Antimicrob. Agents	216	185	149	220
ISRN Nephrol	35	185	66	
Plant Sci.	211	185	161	214
Trauma Mon	55	185	78	305.5
Am. J. Reprod. Immunol.	133	184	136	252
Gerontology	99	184	87	307
J Am Med Dir Assoc	169	184	153	226
J Toxicol Pathol	50	184	163	235
J. Neuroimmunol.	225	184	154	246
J. Neurosci. Methods	290	184	154	237
Nat. Med.	170	184	144	273
Tuberculosis (Edinb)	118	184	149	220
Vaccine	948	184	143	232
In Vitro Cell. Dev. Biol. Anim.	122	183.5	141	243
Mar Genomics	22	183.5	88	255
Curr Rheumatol Rev	19	183	92.5	299
Exp. Cell Res.	352	183	160	226
Funct. Integr. Genomics	35	183	173	207
J Adv Prosthodont	27	183	148	241.5
J Cell Commun Signal	20	183	159	277
J. Am. Soc. Mass Spectrom.	253	183	152	228
Nat. Struct. Mol. Biol.	206	183	145	212
Endeavour	18	182	132	341
Genes Brain Behav.	79	182	156	229
Mikrochim Acta	7	182	132	
Neurochem. Res.	288	182	154	209
Psychother Psychosom	45	182	88	368
Appl. Biochem. Biotechnol.	618	181.5	148	243
Acta Crystallogr B Struct Sci Cryst Eng Mater	61	181	115	203
J Korean Neurosurg Soc	97	181	143	247
J Pharmacokinet Pharmacodyn	48	181	157.5	235.5
Neuroradiology	155	181	156	209
Brain Behav	68	180.5	140.5	284
Curr. Opin. Genet. Dev.	90	180.5	146	193
J Reprod Infertil	12	180.5	129.5	209.5
Ann Thorac Med	26	180	107	233
Appl. Microbiol. Biotechnol.	880	180	126	295
Cancer Sci.	251	180	150.5	208.5
Clin Psychopharmacol Neurosci	5	180	162	215
Curr Hypertens Rev	6	180	100	364
Mol Med Rep	815	180	163	208
Prog. Biophys. Mol. Biol.	25	180	131	329
Mol. Reprod. Dev.	100	179.5	130.5	224.5
Orthop Surg	22	179.5	128	256
Biotechnol. Lett.	282	179	161	211
Curr. Genet.	34	179	141	218
Eur Phys J E Soft Matter	77	179	135	229
Folia Primatol.	29	179	72	270
Heart Rhythm	257	179	148	229
J. Neurol. Sci.	386	179	142	237
Mol Oncol	95	179	127.5	202.5
Mol. Divers.	76	179	148	216
Plant Physiol. Biochem.	314	179	132	226
PLoS Biol.	187	179	86.5	
Trends Immunol.	87	179	167.5	215
Wien. Klin. Wochenschr.	124	179	135	283
Blood Res	28	178.5	135.5	201.5
J Chem Biol	14	178.5	105	287
J. Appl. Microbiol.	370	178.5	157	207
Avicenna J Phytomed	30	178	89	
Cardiol Ther	13	178	119	246
CNS Neurosci Ther	110	178	146	212
Curr Gene Ther	16	178	145	191
Eur J Med Chem	859	178	143	235.5
Eurasian J Med	19	178	134	242.5
Fish Shellfish Immunol.	446	178	153	226
J Colloid Interface Sci	846	178	160	213
J. Am. Coll. Surg.	357	178	144	210
Parasite Immunol.	28	178	146	293
Acta Crystallogr. D Biol. Crystallogr.	312	177	143	218
Contemp Clin Trials	145	177	139	214
Glob Health Sci Pract	27	177	156.5	265
J Cardiovasc Dis Res	28	177	111.5	225
J. Thromb. Haemost.	113	177	140	214
Interv Neuroradiol	62	176.5	143	202
J Synchrotron Radiat	174	176.5	152	226
Br. J. Haematol.	290	176	156	197
Dermatol Ther (Heidelb)	13	176	120	178
J Allied Health	34	176	66	
J Nutr Sci	59	176	81	
Mamm. Genome	40	176	154	206
Nucl. Med. Biol.	152	176	148.5	211
Scand. J. Immunol.	59	176	137.5	222.5
Surg Oncol	37	176	122	197
Virus Res.	250	176	147	208
Maedica (Buchar)	68	175.5	94	285
Folia Morphol. (Warsz)	11	175	77	197
J. Card. Fail.	71	175	133.5	256.5
J. Chromatogr. B Analyt. Technol. Biomed. Life Sci.	525	175	142	224
Macromol Biosci	203	175	154.5	202
Med Mal Infect	67	175	118	262
Pathog Dis	81	175	132	236
Proteomics Clin Appl	51	175	136	309
Worm	31	175	113	191
Birth Defects Res. Part A Clin. Mol. Teratol.	75	174	139	216
Curr Stem Cell Res Ther	36	174	145	207
Eur. Biophys. J.	78	174	156	246
Int. J. Parasitol.	103	174	159	208.5
Rev Esp Sanid Penit	10	174	41	307
Toxicol. Appl. Pharmacol.	334	173.5	147	224
Tumour Biol.	516	173.5	150	199.5
Biol. Chem.	86	173	149	200
J Clin Diagn Res	590	173	123	216
J Saudi Heart Assoc	35	173	117.5	283
J. Appl. Genet.	41	173	159	230
J. Urol.	182	173	161	206
Neurotoxicology	163	173	136	213
S. Afr. Med. J.	89	173	110	234
Cell Calcium	91	172	120	291.5
Diabetes Res. Clin. Pract.	257	172	140	222
Domest. Anim. Endocrinol.	59	172	155	223.5
Infect Dis Ther	11	172	118.5	184
J Public Health Dent	45	172	80	317
Prog. Urol.	239	172	127	242
World J Plast Surg	16	172	158.5	197.5
Adipocyte	29	171	132	192
DNA Repair (Amst.)	106	171	132	216
J Contin Educ Nurs	62	171	129	236
J. Nematol.	19	171	136	291.5
Plant Cell Rep.	193	171	149	194
Rev Bras Ginecol Obstet	43	171	101.5	322
J. Struct. Biol.	206	170.5	134	214
Behav. Brain Res.	698	170	144	239
Cell Host Microbe	51	170	141	211
J. Biol. Inorg. Chem.	99	170	127	206.5
Mol Genet Genomic Med	30	170	134	220
Pain Ther	13	170	102	190
Res Cardiovasc Med	35	170	142	228
Mayo Clin. Proc.	144	169.5	140	217
World J Gastrointest Pharmacol Ther	6	169.5	149	185
Cell. Mol. Neurobiol.	131	169	144	202
Genesis	81	169	131	210
J Neurol Surg Rep	23	169	157	329
Planta	203	169	141	199
Res Dev Disabil	450	169	144	200
Thromb. Res.	357	169	142	223
Immunol. Cell Biol.	46	168.5	135	222
Curr. Opin. Cell Biol.	100	168	139	186
JACC Heart Fail	35	168	121	223.5
Jpn J Radiol	116	168	139	220.5
Placenta	241	168	141	215
Rapid Commun. Mass Spectrom.	210	168	147	196
Syst. Parasitol.	89	168	147	191
Trends Endocrinol. Metab.	80	168	145.5	203.5
World J Diabetes	12	168	142.5	366.5
Curr. Med. Chem.	348	167.5	94	
J Korean Surg Soc	108	167.5	129	216.5
Arthropod Struct Dev	59	167	153	247.5
Curr Drug Targets	71	167	139	213.5
Food Sci Nutr	51	167	152	188
Insights Imaging	84	167	109	221
J Biomed Res	74	167	89	251
J. Chem. Neuroanat.	53	167	128	211
New Phytol.	529	167	150	201
Virology	377	167	148	198
J Cardiovasc Transl Res	68	166.5	152.5	197.5
Trends Mol Med	92	166.5	143.5	210.5
Acta Neurochir (Wien)	304	166	132	207
Biomol Concepts	16	166	139.5	187.5
Int. Immunopharmacol.	352	166	113	230
Ann. Allergy Asthma Immunol.	141	165	137	202
Antonie Van Leeuwenhoek	216	165	139	204.5
Arch. Biochem. Biophys.	237	165	132	210
Biol Open	169	165	134	
Clin Cardiol	121	165	138	192
Curr. Biol.	368	165	119.5	207
Int. J. Pediatr. Otorhinolaryngol.	453	165	139	200
Neuroimmunomodulation	61	165	72	
Basic Res. Cardiol.	105	164	128	245
Biol. Blood Marrow Transplant.	245	164	130	206
Nat. Biotechnol.	93	164	125	224
Pharmacol. Res.	108	164	132	192
Adv. Mater. Weinheim	846	163	141	189
Clin Pract	41	163	114	239
Int J Pharm	857	163	125	209
J Clin Hypertens (Greenwich)	112	163	139	189
J. Ind. Microbiol. Biotechnol.	183	163	138	215
Trends Neurosci.	93	163	133	211
World J. Gastroenterol.	653	163	130	204
Cogn Process	60	162.5	151	310.5
Chem. Biol.	97	162	126	219
Clin. Chim. Acta	334	162	132	213
Cytoskeleton (Hoboken)	50	162	142	208
Food Environ Virol	22	162	152	171
J Genet Genomics	58	162	112	195
Biophys. J.	368	161.5	122.5	204
ARYA Atheroscler	53	161	104	229
Childs Nerv Syst	267	161	126	245
J Pharm Sci	391	161	135	194.5
Mol. Biochem. Parasitol.	73	161	110	200
Mol. Syst. Biol.	53	161	70	
Autoimmun Rev	68	160.5	139	182.5
Clinics (Sao Paulo)	192	160.5	121.5	203.5
Wien Med Wochenschr	74	160.5	76	218
Acta Neuropathol.	114	160	112	224
Clin Mol Hepatol	21	160	112	384
Curr Opin Pharmacol	111	160	133.5	167
FEBS J.	562	160	133	212
J. Magn. Reson.	233	160	126	190
Microbiologyopen	71	160	130	198.5
Parasitol. Res.	524	160	120	205.5
Arerugi	10	159.5	126	217
Br. J. Cancer	330	159.5	133	187
J Phys Ther Sci	278	159	146	169
J Rehabil Res Dev	48	159	66.5	
Microbiol. Immunol.	77	159	115	193
Sao Paulo Med J	58	159	85	312
Anaesthesist	39	158	128.5	190
Brain Res. Bull.	147	158	127	192
Diabetes Ther	19	158	119	246
J Geriatr Cardiol	37	158	110	181
World J Virol	9	158	158	158
Anal Bioanal Chem	906	157.5	130	193
Cancer Med	74	157.5	123	195
Blood Cells Mol. Dis.	93	157	136	189
Immunogenetics	83	157	141	199
J Med Signals Sens	19	157	97.5	274
J Med Syst	102	157	127	193
Oncol. Rep.	807	157	136	179
Antiviral Res.	241	156	129	203
Insect Biochem. Mol. Biol.	118	156	127	199
Interface Focus	5	156	156	156
Interv Med Appl Sci	14	156	120	253
Proc. Math. Phys. Eng. Sci.	9	156	142	167
Saf Health Work	28	156	115	222.5
World J Gastrointest Surg	24	156	131.5	191
J. Mol. Graph. Model.	158	155.5	130	189
World J Gastrointest Oncol	20	155.5	94.5	200.5
Aging Dis	43	155	114.5	243.5
GMS Z Med Ausbild	48	155	35.5	
J. Mol. Evol.	39	155	111	165
Magn Reson Chem	114	155	135	196
Structure	231	155	123.5	177
World J Gastrointest Endosc	41	155	116	185
Comp. Biochem. Physiol. C Toxicol. Pharmacol.	75	154	116	176
Eur Thyroid J	49	154	118	201
Glob Health Action	81	154	116	
Int. J. Biol. Macromol.	579	154	136	174
J. Insect Physiol.	161	154	130	200
Korean J Urol	69	154	112	218
Adv Chronic Kidney Dis	56	153	109.5	172
Cancer Chemother. Pharmacol.	361	153	129	214
Curr Neurovasc Res	15	153	96.5	167
J Gynecol Oncol	26	153	51	222
J. Pept. Sci.	122	153	132	200
Neurosci. Lett.	807	153	123	192
Plast Reconstr Surg Glob Open	74	153	98	198
Semin. Cell Dev. Biol.	77	153	111	226
Can J Diabetes	24	152	82.5	185
Clin Pediatr Endocrinol	6	152	143	192
Anal. Chim. Acta	807	151	128	183
Epilepsy Behav	391	151	128	190
J. Chem. Ecol.	134	151	107	194
Neurogenetics	22	151	87	170
Chemistry	2227	150	118.5	185
Curr Opin Chem Biol	132	150	126.5	167
Exp Ther Med	730	150	131	169
Gynecol. Oncol.	398	150	134	183
J Nephropathol	41	150	121	272
J Appl Phys	19	149	70.5	184
Trends Biochem. Sci.	81	149	137	172
Am. J. Hematol.	232	148	114.5	181
J. Neurovirol.	59	148	116	205
J. Peripher. Nerv. Syst.	13	148	106	205
Nat. Immunol.	144	148	125.5	182.5
New Microbiol.	44	148	133.5	216
Am J Emerg Med	549	147	126	192
Genes Cells	91	147	120	199
Phys. Rev. Lett.	1982	147	108	192
Biogerontology	54	146	99	176
Chemphyschem	530	146	123	177
Microsc. Res. Tech.	186	146	129	180
Tissue Antigens	164	146	128	191.5
Toxicol. Lett.	328	146	126	181
Transfus Med Rev	29	146	108	172
Ecol Evol	421	145	111	177
Int. J. Hematol.	241	145	101	203
J Cardiovasc Ultrasound	26	145	99	176
J. Cancer Res. Clin. Oncol.	220	144.5	114	191.5
Recent Pat Endocr Metab Immune Drug Discov	14	144.5	73	185
Biometals	65	144	113	206
Cancer Metab	12	144	72.5	
Chem Rec	17	144	142	150
ChemSusChem	324	144	119.5	181
Curr. Opin. Struct. Biol.	115	144	121	174
Extremophiles	129	144	121	185
J Chromatogr A	1182	144	118	182
World J Hepatol	38	144	103	201
Immunol. Lett.	96	143.5	94	
J Breast Cancer	40	143.5	100	169
Int. J. Mol. Med.	461	143	130	161
Nat. Neurosci.	284	143	123	188
Neural Regen Res	191	143	114	175.5
Neuropsychobiology	78	143	63	320
Orthod Fr	18	143	117	248
Pak J Med Sci	201	143	118	192
Transl Oncol	45	143	129	
Virchows Arch.	155	143	117	186
Yeast	49	143	111	223
Curr. Genomics	24	142.5	107	200
World J Radiol	24	142.5	130	176.5
Ann Pharm Fr	53	142	106	172
Carbohydr. Res.	255	142	126	171
Clin Kidney J	15	142	133.5	302
J Sep Sci	496	142	119	169
Med. Oncol.	479	142	107	
Protein Expr. Purif.	169	142	114	165
Eur J Inorg Chem	5	141	141	153
Fitoterapia	251	141	111	185.5
Hepatobiliary Surg Nutr	22	141	126	192
J Biophys	13	141	28	
J Med Phys	14	141	121	181
Tokai J. Exp. Clin. Med.	14	141	136	172
Transl Vis Sci Technol	20	141	86	186
Am. J. Hum. Genet.	206	140	108	168
Biol Trace Elem Res	333	140	114	172
Bioresour. Technol.	1810	140	122	168
Crit Care Res Pract	43	140	29	
Cell. Signal.	302	138.5	111	187
Korean J. Physiol. Pharmacol.	36	138.5	76	175
Curr Drug Abuse Rev	11	138	124.5	296
J Hum Reprod Sci	36	138	56.5	256
World J Psychiatry	8	137.5	106.5	164
Arch. Pharm. (Weinheim)	95	137	116	151
J. Biochem. Mol. Toxicol.	72	137	121.5	155
Korean J. Parasitol.	25	137	114	186
Respirol Case Rep	11	137	97.5	164.5
Bioorg. Med. Chem.	983	136	115	160
Chem Asian J	433	136	118	158
Int. J. Oncol.	527	136	122	161
J. Microbiol. Methods	267	136	99.5	169
World J Clin Oncol	9	136	79	172
Biochem. Pharmacol.	392	135.5	119	159
Curr. Opin. Plant Biol.	98	135	115	144
J Mass Spectrom	94	135	110	170
J. Muscle Res. Cell. Motil.	23	135	79.5	171
Neoplasia	95	135	102	177.5
Pharmacogn Rev	17	135	88	168
BMC Sports Sci Med Rehabil	13	134	76	369
Chromosome Res.	39	134	87.5	144
Curr. Opin. Microbiol.	86	134	116	146
Pathol. Int.	41	134	96	195
Protein Sci.	182	134	114	158
Adv Orthop	49	133	40	
BioTechniques	30	133	94	162
Ment Health Fam Med	15	133	95.5	
Recent Pat Inflamm Allergy Drug Discov	18	133	85	200
Trends Biotechnol.	92	132.5	117	157
Biomed. Pharmacother.	121	132	118	161
BMC Syst Biol	77	132	39	
Curr Probl Pediatr Adolesc Health Care	11	132	92	201
J. Assist. Reprod. Genet.	210	132	108	161
JAKSTAT	61	132	75	189
Pharm Pract (Granada)	44	132	79	443
Pathophysiology	24	131.5	95.5	208.5
Biomed Rep	201	131	107	149
Biomaterials	1104	130	112	151
Iran J Parasitol	56	129.5	101.5	163
J. Struct. Funct. Genomics	18	129.5	98	169
High Blood Press Cardiovasc Prev	48	129	91.5	203
Korean J Audiol	20	129	84.5	155
Maturitas	188	129	93.5	175.5
Naturwissenschaften	141	129	100	161
Toxicology	213	129	111	152
United European Gastroenterol J	24	128.5	100	154
BMC Cell Biol.	32	128	42.5	
Curr. Pharm. Des.	606	128	60	
Arch Plast Surg	110	127	89	160
Curr Radiopharm	12	127	95.5	169.5
J Ayurveda Integr Med	22	127	102	185
J Gastrointest Oncol	29	127	106	168
Phys Rev E Stat Nonlin Soft Matter Phys	1131	127	82	188.5
PLoS Med.	123	127	54	
Transfus Med Hemother	44	127	94	249
Endocrinol Metab (Seoul)	16	126.5	92.5	251
Cancer Radiother	101	126	91	338
Int Orthop	386	126	101	151
J Chem Theory Comput	15	126	90.5	150
J Phys Chem C Nanomater Interfaces	16	126	77	148
Macromol Rapid Commun	282	126	107	143
FEMS Microbiol. Lett.	203	125	101	149
IUBMB Life	139	125	109	154
Pharmacol. Ther.	100	125	106.5	148
Trends Pharmacol. Sci.	84	125	110	145
World J Cardiol	38	125	106	164
Ther Apher Dial	9	124	101	132
Peptides	278	123.5	95	154
Acta Histochem Cytochem	11	123	96.5	196
Asian Pac J Trop Med	60	123	93	263
Geburtshilfe Frauenheilkd	23	123	52.5	210.5
Korean J Pain	43	123	79.5	145.5
Plant Reprod	19	123	114	165.5
Transfus Clin Biol	26	122.5	85	278
Aliment. Pharmacol. Ther.	293	122	88	173
Angew. Chem. Int. Ed. Engl.	2569	122	100	149
Bioorg. Med. Chem. Lett.	1342	122	105	148
Cardiovasc Diagn Ther	33	122	67	225
J Math Neurosci	11	122	50	
Mol. Cells	129	122	75	159
Trends Microbiol.	86	122	104	151
Mens Sana Monogr	16	121.5	73	299.5
Clin Ther	179	121	87.5	155
J Bone Metab	7	121	94.5	133.5
New Microbes New Infect	7	121	99	123.5
Transpl. Immunol.	58	121	102	157
Acta Biomed	21	120	90	173
Dev. Growth Differ.	80	120	102	157
Investig Genet	17	120	21	
J Public Health Res	27	120	76	156
Anat Cell Biol	30	119	79	207
Glob J Health Sci	71	119	99	144.5
J. Biomol. NMR	115	119	85	144
Orig Life Evol Biosph	29	119	83	222
World J Clin Cases	37	119	102	145
Sci China Life Sci	96	118.5	68.5	185.5
G3 (Bethesda)	31	118	87	141.5
J Basic Clin Physiol Pharmacol	41	118	68	
Nurs Midwifery Stud	20	118	100	140
JMIR Res Protoc	22	117.5	50	
ChemMedChem	211	117	97	133.5
Mol. Genet. Metab.	215	117	89	142
J. Physiol. Pharmacol.	34	116.5	86	163
ACS Chem Neurosci	25	116	82	166
J. Pediatr. Surg.	361	115	97	276
FEBS Lett.	654	114.5	92	141
Endocr Connect	13	114	79	132
Inflamm Allergy Drug Targets	17	114	86	155
Birth Defects Res. B Dev. Reprod. Toxicol.	60	113.5	62	159
Acta Parasitol.	8	113	107.5	120.5
J Mammary Gland Biol Neoplasia	34	113	104	130
Curr. Opin. Immunol.	87	111	94.5	124.5
Int J Occup Environ Med	13	111	96	166
J Interv Gastroenterol	16	110.5	23.5	
Adv Biol Regul	59	110	81.5	120.5
Rev Peru Med Exp Salud Publica	46	109.5	46	185
Transplant Rev (Orlando)	30	109.5	90	177
Acta Cir Bras	70	109	104	130
J Prev Med Public Health	31	109	86	258
J. Perianesth. Nurs.	20	108.5	85	467.5
Carbon Balance Manag	7	108	25.5	
Curr Opin Virol	61	108	85	128
Interdiscip Toxicol	21	108	44	204
Mol Inform	5	108	108	109
Chembiochem	295	107	88	133
Infect Dis Rep	22	107	53	205
J Biomed Opt	37	107	59	128
Biosensors (Basel)	21	106	52	
Cancer Gene Ther.	28	105.5	76.5	184
Int Cardiovasc Res J	16	105.5	76.5	125.5
Ann Neurosci	21	105	68	125
Korean J Pathol	24	105	62	248.5
Macromolecules	5	105	91	202
Trends Parasitol.	82	104	91	130
Pediatr Allergy Immunol Pulmonol	6	103	93	227
Horm Mol Biol Clin Investig	19	102	71	121
Radiat Oncol J	20	102	67.5	119
World J Biol Chem	5	102	97	107
Commun Integr Biol	125	101	61	125
European J Org Chem	9	101	63	118
Healthc Inform Res	16	101	16	118
J. Comput. Aided Mol. Des.	46	101	73	161
Curr. HIV Res.	29	100	72	265
Prev Nutr Food Sci	28	99.5	75	146
ACS Med Chem Lett	208	99	61	142
J Dent (Tehran)	54	98	87	116
J Int Oral Health	34	98	85	108
Tissue Barriers	37	98	48	136
JOP	70	97.5	56	131
Genomics Proteomics Bioinformatics	39	97	49	182
Protein Cell	70	97	70	159
J. Autoimmun.	105	96	74	177
C. R. Biol.	44	95.5	39	222
World J Mens Health	12	95.5	52	131
J Neurogastroenterol Motil	51	95	40.5	133
Mycobiology	23	95	85.5	113
Genes Cancer	14	94	51	533
J Stroke	17	94	41	120
Lab Anim Res	20	93	41	103
Curr Drug Saf	23	92	30.5	161
Neuroradiol J	60	91.5	43	138
Antiinflamm Antiallergy Agents Med Chem	25	91	71	
Ann Coloproctol	12	90.5	38	195
Clin Exp Reprod Med	15	90	45	128.5
J Nanotechnol Eng Med	7	90	88.5	118.5
Mass Spectrom (Tokyo)	51	90	47	
Yonago Acta Med	20	90	75.5	130
Appl Phys Lett	22	89.5	68	134
J Innate Immun	92	89	37.5	320
Clin Case Rep	5	88	86	101
Behav Sci (Basel)	42	87	68	114
Crit Ultrasound J	7	87	70	
Med Klin Intensivmed Notfmed	67	87	70	225
Oman Med J	64	87	68	108
Acta Crystallogr. Sect. F Struct. Biol. Cryst. Commun.	324	86.5	69	118.5
Biomark Res	19	86	44	
J Young Pharm	13	86	73	105
Fluids Barriers CNS	22	85.5	60	
Int J Biomed Sci	17	84	28	103
Neuropsychol Rev	25	84	71	177
ChemistryOpen	21	83	66	105
Int J Clin Pediatr Dent	63	83	52.5	
Onderstepoort J. Vet. Res.	9	82	64	
Neurointervention	18	81.5	43	135
Asia Pac Allergy	17	81	14	262
Semin. Immunol.	24	81	51	276
Breast Cancer Res. Treat.	387	80	53	126
Chonnam Med J	9	80	80	97
Int J Proteomics	22	80	59	
J Contemp Brachytherapy	19	80	40.5	100
J Ophthalmic Inflamm Infect	46	80	65	81
Biol Ther	7	79	31	
Virol Sin	27	79	51	144.5
Trends Cogn. Sci. (Regul. Ed.)	94	78.5	47	103
J Cerebrovasc Endovasc Neurosurg	29	78	52	110
Middle East J Dig Dis	16	78	63.5	97.5
Best Pract Res Clin Anaesthesiol	30	77.5	68	97
Ann Burns Fire Disasters	16	77	64.5	116
Asian Pac J Trop Biomed	105	77	64	93
Korean J Spine	29	77	47	108
Best Pract Res Clin Gastroenterol	46	76	56	123
Chem Mater	7	76	72.5	86.5
Eur J Microbiol Immunol (Bp)	21	76	55	99
Meta Gene	6	75.5	71	82
Chin. J. Cancer Res.	40	75	36	139
J Thorac Dis	81	75	42	121
J Otolaryngol Head Neck Surg	48	74.5	9.5	
Mob Genet Elements	29	74	20	
Pol J Radiol	22	74	31	135
J Physiol Anthropol	10	73	63	96
Acta Crystallogr C	353	72	52	105
Endocr Metab Immune Disord Drug Targets	26	72	72	141
J. Appl. Phycol.	6	72	2	157
OTJR (Thorofare N J)	5	72	63	
World J Nephrol	7	72	66	83
Emerg Health Threats J	5	71	65	
Ann Cardiothorac Surg	89	70	32	
Endosc Ultrasound	23	69	37.5	137.5
Organometallics	5	69	53	83
Drugs Context	9	68	22	128
J Evid Based Med	19	68	49	96
Osong Public Health Res Perspect	29	68	45	86
Glob Heart	15	66	46	124
Restor Dent Endod	8	66	61	86.5
Acta Crystallogr Sect E Struct Rep Online	2028	65	36	
Oncoimmunology	187	65	52	85
J Periodontal Implant Sci	20	64.5	44.5	142.5
Acta Theriol.	13	64	63	349
Best Pract Res Clin Rheumatol	11	64	35.5	
Int J Health Policy Manag	33	64	39	
Clin Exp Vaccine Res	13	61	52	71
Phys Life Rev	63	61	39	95
